State_Name,Diocese,Diocese_Detail,County_Name,Population,Percent_Catholic
Alabama,Birmingham,Birmingham,Bibb County,,
Alabama,Birmingham,Birmingham,Blount County,,
Alabama,Birmingham,Birmingham,Calhoun County,,
Alabama,Birmingham,Birmingham,Chambers County,,
Alabama,Birmingham,Birmingham,Cherokee County,,
Alabama,Birmingham,Birmingham,Chilton County,,
Alabama,Birmingham,Birmingham,Clay County,,
Alabama,Birmingham,Birmingham,Cleburne County,,
Alabama,Birmingham,Birmingham,Colbert County,,
Alabama,Birmingham,Birmingham,Coosa County,,
Alabama,Birmingham,Birmingham,Cullman County,,
Alabama,Birmingham,Birmingham,DeKalb County,,
Alabama,Birmingham,Birmingham,Etowah County,,
Alabama,Birmingham,Birmingham,Fayette County,,
Alabama,Birmingham,Birmingham,Franklin County,,
Alabama,Birmingham,Birmingham,Greene County,,
Alabama,Birmingham,Birmingham,Hale County,,
Alabama,Birmingham,Birmingham,Jackson County,,
Alabama,Birmingham,Birmingham,Jefferson County,,
Alabama,Birmingham,Birmingham,Lamar County,,
Alabama,Birmingham,Birmingham,Lauderdale County,,
Alabama,Birmingham,Birmingham,Lawrence County,,
Alabama,Birmingham,Birmingham,Limestone County,,
Alabama,Birmingham,Birmingham,Madison County,,
Alabama,Birmingham,Birmingham,Marengo County,,
Alabama,Birmingham,Birmingham,Marion County,,
Alabama,Birmingham,Birmingham,Marshall County,,
Alabama,Birmingham,Birmingham,Morgan County,,
Alabama,Birmingham,Birmingham,Perry County,,
Alabama,Birmingham,Birmingham,Pickens County,,
Alabama,Birmingham,Birmingham,Randolph County,,
Alabama,Birmingham,Birmingham,Shelby County,,
Alabama,Birmingham,Birmingham,St. Clair County,,
Alabama,Birmingham,Birmingham,Sumter County,,
Alabama,Birmingham,Birmingham,Talladega County,,
Alabama,Birmingham,Birmingham,Tallapoosa County,,
Alabama,Birmingham,Birmingham,Tuscaloosa County,,
Alabama,Birmingham,Birmingham,Walker County,,
Alabama,Birmingham,Birmingham,Winston County,,
Alabama,Mobile,Mobile,Autauga County,,
Alabama,Mobile,Mobile,Baldwin County,,
Alabama,Mobile,Mobile,Barbour County,,
Alabama,Mobile,Mobile,Bullock County,,
Alabama,Mobile,Mobile,Butler County,,
Alabama,Mobile,Mobile,Choctaw County,,
Alabama,Mobile,Mobile,Clarke County,,
Alabama,Mobile,Mobile,Coffee County,,
Alabama,Mobile,Mobile,Conecuh County,,
Alabama,Mobile,Mobile,Covington County,,
Alabama,Mobile,Mobile,Crenshaw County,,
Alabama,Mobile,Mobile,Dale County,,
Alabama,Mobile,Mobile,Dallas County,,
Alabama,Mobile,Mobile,Elmore County,,
Alabama,Mobile,Mobile,Escambia County,,
Alabama,Mobile,Mobile,Geneva County,,
Alabama,Mobile,Mobile,Henry County,,
Alabama,Mobile,Mobile,Houston County,,
Alabama,Mobile,Mobile,Lee County,,
Alabama,Mobile,Mobile,Lowndes County,,
Alabama,Mobile,Mobile,Macon County,,
Alabama,Mobile,Mobile,Mobile County,,
Alabama,Mobile,Mobile,Monroe County,,
Alabama,Mobile,Mobile,Montgomery County,,
Alabama,Mobile,Mobile,Pike County,,
Alabama,Mobile,Mobile,Russell County,,
Alabama,Mobile,Mobile,Washington County,,
Alabama,Mobile,Mobile,Wilcox County,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Aleutians East Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Aleutians West Census Area,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Anchorage Municipality,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Bristol Bay Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Chugach Census Area,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Copper River Census Area,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Dillingham Census Area,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Haines Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Hoonah-Angoon Census Area,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Juneau City and Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Kenai Peninsula Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Ketchikan Gateway Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Kodiak Island Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Lake and Peninsula Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Matanuska-Susitna Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Petersburg Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Prince of Wales-Hyder Census Area,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Sitka City and Borough,,
Alaska,Anchorage-Juneau,Anchorage-Juneau,Skagway Municipality,,
