"county","state","stateabbr","diocese"
"Covington","Alabama","AL","Mobile"
"Randolph","Alabama","AL","Birmingham"
"Clay","Alabama","AL","Birmingham"
"Chilton","Alabama","AL","Birmingham"
"Jackson","Alabama","AL","Birmingham"
"Limestone","Alabama","AL","Birmingham"
"Fayette","Alabama","AL","Birmingham"
"Chambers","Alabama","AL","Birmingham"
"Coosa","Alabama","AL","Birmingham"
"Cleburne","Alabama","AL","Birmingham"
"Lawrence","Alabama","AL","Birmingham"
"Bibb","Alabama","AL","Birmingham"
"Tallapoosa","Alabama","AL","Birmingham"
"Cullman","Alabama","AL","Birmingham"
"Blount","Alabama","AL","Birmingham"
"Marion","Alabama","AL","Birmingham"
"Marengo","Alabama","AL","Birmingham"
"St. Clair","Alabama","AL","Birmingham"
"Lauderdale","Alabama","AL","Birmingham"
"DeKalb","Alabama","AL","Birmingham"
"Franklin","Alabama","AL","Birmingham"
"Etowah","Alabama","AL","Birmingham"
"Walker","Alabama","AL","Birmingham"
"Hale","Alabama","AL","Birmingham"
"Talladega","Alabama","AL","Birmingham"
"Winston","Alabama","AL","Birmingham"
"Pickens","Alabama","AL","Birmingham"
"Cherokee","Alabama","AL","Birmingham"
"Jefferson","Alabama","AL","Birmingham"
"Calhoun","Alabama","AL","Birmingham"
"Shelby","Alabama","AL","Birmingham"
"Madison","Alabama","AL","Birmingham"
"Sumter","Alabama","AL","Birmingham"
"Lamar","Alabama","AL","Birmingham"
"Tuscaloosa","Alabama","AL","Birmingham"
"Marshall","Alabama","AL","Birmingham"
"Perry","Alabama","AL","Birmingham"
"Greene","Alabama","AL","Birmingham"
"Colbert","Alabama","AL","Birmingham"
"Houston","Alabama","AL","Mobile"
"Clarke","Alabama","AL","Mobile"
"Coffee","Alabama","AL","Mobile"
"Henry","Alabama","AL","Mobile"
"Washington","Alabama","AL","Mobile"
"Lee","Alabama","AL","Mobile"
"Crenshaw","Alabama","AL","Mobile"
"Montgomery","Alabama","AL","Mobile"
"Baldwin","Alabama","AL","Mobile"
"Mobile","Alabama","AL","Mobile"
"Dale","Alabama","AL","Mobile"
"Bullock","Alabama","AL","Mobile"
"Wilcox","Alabama","AL","Mobile"
"Autauga","Alabama","AL","Mobile"
"Conecuh","Alabama","AL","Mobile"
"Escambia","Alabama","AL","Mobile"
"Macon","Alabama","AL","Mobile"
"Elmore","Alabama","AL","Mobile"
"Lowndes","Alabama","AL","Mobile"
"Barbour","Alabama","AL","Mobile"
"Russell","Alabama","AL","Mobile"
"Monroe","Alabama","AL","Mobile"
"Choctaw","Alabama","AL","Mobile"
"Morgan","Alabama","AL","Birmingham"
"Pike","Alabama","AL","Mobile"
"Geneva","Alabama","AL","Mobile"
"Dallas","Alabama","AL","Mobile"
"Butler","Alabama","AL","Mobile"
"Columbia","Arkansas","AR","Little Rock"
"Logan","Arkansas","AR","Little Rock"
"Miller","Arkansas","AR","Little Rock"
"Cleburne","Arkansas","AR","Little Rock"
"Craighead","Arkansas","AR","Little Rock"
"Perry","Arkansas","AR","Little Rock"
"Crawford","Arkansas","AR","Little Rock"
"Searcy","Arkansas","AR","Little Rock"
"Scott","Arkansas","AR","Little Rock"
"Arkansas","Arkansas","AR","Little Rock"
"Izard","Arkansas","AR","Little Rock"
"Carroll","Arkansas","AR","Little Rock"
"Randolph","Arkansas","AR","Little Rock"
"Newton","Arkansas","AR","Little Rock"
"Hempstead","Arkansas","AR","Little Rock"
"Lincoln","Arkansas","AR","Little Rock"
"Jefferson","Arkansas","AR","Little Rock"
"Franklin","Arkansas","AR","Little Rock"
"Sevier","Arkansas","AR","Little Rock"
"Garland","Arkansas","AR","Little Rock"
"Calhoun","Arkansas","AR","Little Rock"
"Phillips","Arkansas","AR","Little Rock"
"Polk","Arkansas","AR","Little Rock"
"Fulton","Arkansas","AR","Little Rock"
"Clay","Arkansas","AR","Little Rock"
"Stone","Arkansas","AR","Little Rock"
"Van Buren","Arkansas","AR","Little Rock"
"Johnson","Arkansas","AR","Little Rock"
"Mississippi","Arkansas","AR","Little Rock"
"Faulkner","Arkansas","AR","Little Rock"
"Yell","Arkansas","AR","Little Rock"
"Washington","Arkansas","AR","Little Rock"
"Monroe","Arkansas","AR","Little Rock"
"Pulaski","Arkansas","AR","Little Rock"
"Poinsett","Arkansas","AR","Little Rock"
"St. Francis","Arkansas","AR","Little Rock"
"Cross","Arkansas","AR","Little Rock"
"Clark","Arkansas","AR","Little Rock"
"Lonoke","Arkansas","AR","Little Rock"
"Independence","Arkansas","AR","Little Rock"
"Ouachita","Arkansas","AR","Little Rock"
"Baxter","Arkansas","AR","Little Rock"
"Jackson","Arkansas","AR","Little Rock"
"White","Arkansas","AR","Little Rock"
"Little River","Arkansas","AR","Little Rock"
"Desha","Arkansas","AR","Little Rock"
"Ashley","Arkansas","AR","Little Rock"
"Sebastian","Arkansas","AR","Little Rock"
"Cleveland","Arkansas","AR","Little Rock"
"Crittenden","Arkansas","AR","Little Rock"
"Boone","Arkansas","AR","Little Rock"
"Lafayette","Arkansas","AR","Little Rock"
"Union","Arkansas","AR","Little Rock"
"Sharp","Arkansas","AR","Little Rock"
"Madison","Arkansas","AR","Little Rock"
"Saline","Arkansas","AR","Little Rock"
"Greene","Arkansas","AR","Little Rock"
"Chicot","Arkansas","AR","Little Rock"
"Pope","Arkansas","AR","Little Rock"
"Marion","Arkansas","AR","Little Rock"
"Pike","Arkansas","AR","Little Rock"
"Drew","Arkansas","AR","Little Rock"
"Prairie","Arkansas","AR","Little Rock"
"Dallas","Arkansas","AR","Little Rock"
"Lee","Arkansas","AR","Little Rock"
"Lawrence","Arkansas","AR","Little Rock"
"Woodruff","Arkansas","AR","Little Rock"
"Howard","Arkansas","AR","Little Rock"
"Nevada","Arkansas","AR","Little Rock"
"Montgomery","Arkansas","AR","Little Rock"
"Grant","Arkansas","AR","Little Rock"
"Conway","Arkansas","AR","Little Rock"
"Benton","Arkansas","AR","Little Rock"
"Bradley","Arkansas","AR","Little Rock"
"Hot Spring","Arkansas","AR","Little Rock"
"Yavapai","Arizona","AZ","Phoenix"
"Apache","Arizona","AZ","Gallup"
"Navajo","Arizona","AZ","Gallup"
"Santa Cruz","Arizona","AZ","Tucson"
"Yuma","Arizona","AZ","Tucson"
"Graham","Arizona","AZ","Tucson"
"Gila","Arizona","AZ","Tucson"
"Greenlee","Arizona","AZ","Tucson"
"La Paz","Arizona","AZ","Tucson"
"Pinal","Arizona","AZ","Tucson"
"Pima","Arizona","AZ","Tucson"
"Cochise","Arizona","AZ","Tucson"
"Maricopa","Arizona","AZ","Phoenix"
"Mohave","Arizona","AZ","Phoenix"
"Coconino","Arizona","AZ","Phoenix"
"Glenn","California","CA","Sacramento"
"El Dorado","California","CA","Sacramento"
"Trinity","California","CA","Sacramento"
"Solano","California","CA","Sacramento"
"Butte","California","CA","Sacramento"
"San Bernardino","California","CA","San Bernardino"
"Riverside","California","CA","San Bernardino"
"San Diego","California","CA","San Diego"
"Imperial","California","CA","San Diego"
"Marin","California","CA","San Francisco"
"San Francisco","California","CA","San Francisco"
"San Mateo","California","CA","San Francisco"
"Santa Clara","California","CA","San Jose"
"Napa","California","CA","Santa Rosa"
"Humboldt","California","CA","Santa Rosa"
"Sonoma","California","CA","Santa Rosa"
"Mendocino","California","CA","Santa Rosa"
"Lake","California","CA","Santa Rosa"
"Del Norte","California","CA","Santa Rosa"
"Nevada","California","CA","Sacramento"
"Lassen","California","CA","Sacramento"
"Shasta","California","CA","Sacramento"
"Orange","California","CA","Orange"
"Contra Costa","California","CA","Oakland"
"Alameda","California","CA","Oakland"
"Santa Cruz","California","CA","Monterey"
"Monterey","California","CA","Monterey"
"San Luis Obispo","California","CA","Monterey"
"Tuolumne","California","CA","Stockton"
"San Joaquin","California","CA","Stockton"
"Mono","California","CA","Stockton"
"Alpine","California","CA","Stockton"
"Calaveras","California","CA","Stockton"
"Stanislaus","California","CA","Stockton"
"Tehama","California","CA","Sacramento"
"Yolo","California","CA","Sacramento"
"Placer","California","CA","Sacramento"
"Colusa","California","CA","Sacramento"
"Sierra","California","CA","Sacramento"
"Plumas","California","CA","Sacramento"
"Yuba","California","CA","Sacramento"
"Sacramento","California","CA","Sacramento"
"Amador","California","CA","Sacramento"
"San Benito","California","CA","Monterey"
"Los Angeles","California","CA","Los Angeles"
"Santa Barbara","California","CA","Los Angeles"
"Ventura","California","CA","Los Angeles"
"Siskiyou","California","CA","Sacramento"
"Modoc","California","CA","Sacramento"
"Merced","California","CA","Fresno"
"Madera","California","CA","Fresno"
"Mariposa","California","CA","Fresno"
