"year","state","state_po","county_name","party","candidatevotes","totalvotes","percentvote"
"2000","ALABAMA","AL","AUTAUGA","DEMOCRAT","4942","17208","28.72"
"2000","ALABAMA","AL","AUTAUGA","REPUBLICAN","11993","17208","69.69"
"2000","ALABAMA","AL","BALDWIN","DEMOCRAT","13997","56480","24.78"
"2000","ALABAMA","AL","BALDWIN","REPUBLICAN","40872","56480","72.37"
"2000","ALABAMA","AL","BARBOUR","DEMOCRAT","5188","10395","49.91"
"2000","ALABAMA","AL","BARBOUR","REPUBLICAN","5096","10395","49.02"
"2000","ALABAMA","AL","BIBB","DEMOCRAT","2710","7101","38.16"
"2000","ALABAMA","AL","BIBB","REPUBLICAN","4273","7101","60.17"
"2000","ALABAMA","AL","BLOUNT","DEMOCRAT","4977","17973","27.69"
"2000","ALABAMA","AL","BLOUNT","REPUBLICAN","12667","17973","70.48"
"2000","ALABAMA","AL","BULLOCK","DEMOCRAT","3395","4904","69.23"
"2000","ALABAMA","AL","BULLOCK","REPUBLICAN","1433","4904","29.22"
"2000","ALABAMA","AL","BUTLER","DEMOCRAT","3606","7803","46.21"
"2000","ALABAMA","AL","BUTLER","REPUBLICAN","4127","7803","52.89"
"2000","ALABAMA","AL","CALHOUN","DEMOCRAT","15781","38909","40.56"
"2000","ALABAMA","AL","CALHOUN","REPUBLICAN","22306","38909","57.33"
"2000","ALABAMA","AL","CHAMBERS","DEMOCRAT","5616","11834","47.46"
"2000","ALABAMA","AL","CHAMBERS","REPUBLICAN","6037","11834","51.01"
"2000","ALABAMA","AL","CHEROKEE","DEMOCRAT","3497","7823","44.70"
"2000","ALABAMA","AL","CHEROKEE","REPUBLICAN","4154","7823","53.10"
"2000","ALABAMA","AL","CHILTON","DEMOCRAT","4806","15092","31.84"
"2000","ALABAMA","AL","CHILTON","REPUBLICAN","10066","15092","66.70"
"2000","ALABAMA","AL","CHOCTAW","DEMOCRAT","3707","7374","50.27"
"2000","ALABAMA","AL","CHOCTAW","REPUBLICAN","3600","7374","48.82"
"2000","ALABAMA","AL","CLARKE","DEMOCRAT","4679","10752","43.52"
"2000","ALABAMA","AL","CLARKE","REPUBLICAN","5988","10752","55.69"
"2000","ALABAMA","AL","CLAY","DEMOCRAT","2045","5883","34.76"
"2000","ALABAMA","AL","CLAY","REPUBLICAN","3719","5883","63.22"
"2000","ALABAMA","AL","CLEBURNE","DEMOCRAT","1664","5092","32.68"
"2000","ALABAMA","AL","CLEBURNE","REPUBLICAN","3333","5092","65.46"
"2000","ALABAMA","AL","COFFEE","DEMOCRAT","5220","15434","33.82"
"2000","ALABAMA","AL","COFFEE","REPUBLICAN","9938","15434","64.39"
"2000","ALABAMA","AL","COLBERT","DEMOCRAT","10543","21532","48.96"
"2000","ALABAMA","AL","COLBERT","REPUBLICAN","10518","21532","48.85"
"2000","ALABAMA","AL","CONECUH","DEMOCRAT","2783","5551","50.14"
"2000","ALABAMA","AL","CONECUH","REPUBLICAN","2699","5551","48.62"
"2000","ALABAMA","AL","COOSA","DEMOCRAT","2104","4567","46.07"
"2000","ALABAMA","AL","COOSA","REPUBLICAN","2382","4567","52.16"
"2000","ALABAMA","AL","COVINGTON","DEMOCRAT","4440","13613","32.62"
"2000","ALABAMA","AL","COVINGTON","REPUBLICAN","8961","13613","65.83"
"2000","ALABAMA","AL","CRENSHAW","DEMOCRAT","1934","4795","40.33"
"2000","ALABAMA","AL","CRENSHAW","REPUBLICAN","2793","4795","58.25"
"2000","ALABAMA","AL","CULLMAN","DEMOCRAT","9758","29525","33.05"
"2000","ALABAMA","AL","CULLMAN","REPUBLICAN","19157","29525","64.88"
"2000","ALABAMA","AL","DALE","DEMOCRAT","4906","15806","31.04"
"2000","ALABAMA","AL","DALE","REPUBLICAN","10593","15806","67.02"
"2000","ALABAMA","AL","DALLAS","DEMOCRAT","10967","18464","59.40"
"2000","ALABAMA","AL","DALLAS","REPUBLICAN","7360","18464","39.86"
"2000","ALABAMA","AL","DEKALB","DEMOCRAT","7056","20285","34.78"
"2000","ALABAMA","AL","DEKALB","REPUBLICAN","12827","20285","63.23"
