"state","year","county","diocese","party","candidatevotes","totalvotes"
"NEW YORK","2020","ALBANY","Albany","REPUBLICAN","51081","154727"
"NEW YORK","2020","ALBANY","Albany","DEMOCRAT","99474","154727"
"NEW YORK","2004","ALBANY","Albany","DEMOCRAT","86213","147199"
"NEW YORK","2004","ALBANY","Albany","REPUBLICAN","52369","147199"
"NEW YORK","2000","ALBANY","Albany","REPUBLICAN","47624","141969"
"NEW YORK","2000","ALBANY","Albany","DEMOCRAT","85617","141969"
"NEW YORK","2016","ALBANY","Albany","REPUBLICAN","47810","139830"
"NEW YORK","2016","ALBANY","Albany","DEMOCRAT","83077","139830"
"NEW YORK","2008","ALBANY","Albany","REPUBLICAN","50586","147136"
"NEW YORK","2008","ALBANY","Albany","DEMOCRAT","93937","147136"
"NEW YORK","2012","ALBANY","Albany","REPUBLICAN","40210","135766"
"NEW YORK","2012","ALBANY","Albany","DEMOCRAT","83978","135766"
"NEW YORK","2012","COLUMBIA","Albany","REPUBLICAN","10600","29129"
"NEW YORK","2012","COLUMBIA","Albany","DEMOCRAT","15241","29129"
"NEW YORK","2016","COLUMBIA","Albany","DEMOCRAT","15284","30902"
"NEW YORK","2016","COLUMBIA","Albany","REPUBLICAN","13756","30902"
"NEW YORK","2008","COLUMBIA","Albany","REPUBLICAN","13337","31408"
"NEW YORK","2008","COLUMBIA","Albany","DEMOCRAT","17556","31408"
"NEW YORK","2020","COLUMBIA","Albany","DEMOCRAT","20386","35781"
"NEW YORK","2020","COLUMBIA","Albany","REPUBLICAN","14464","35781"
"NEW YORK","2000","COLUMBIA","Albany","DEMOCRAT","13489","28691"
"NEW YORK","2000","COLUMBIA","Albany","REPUBLICAN","13153","28691"
"NEW YORK","2004","COLUMBIA","Albany","DEMOCRAT","15238","31103"
"NEW YORK","2004","COLUMBIA","Albany","REPUBLICAN","13325","31103"
"NEW YORK","2004","DELAWARE","Albany","DEMOCRAT","8425","21166"
"NEW YORK","2004","DELAWARE","Albany","REPUBLICAN","11474","21166"
"NEW YORK","2000","DELAWARE","Albany","DEMOCRAT","8450","20175"
"NEW YORK","2000","DELAWARE","Albany","REPUBLICAN","10662","20175"
"NEW YORK","2008","DELAWARE","Albany","REPUBLICAN","10524","20389"
"NEW YORK","2008","DELAWARE","Albany","DEMOCRAT","9462","20389"
"NEW YORK","2012","DELAWARE","Albany","DEMOCRAT","7881","18638"
"NEW YORK","2012","DELAWARE","Albany","REPUBLICAN","9086","18638"
"NEW YORK","2016","DELAWARE","Albany","DEMOCRAT","6627","19792"
"NEW YORK","2016","DELAWARE","Albany","REPUBLICAN","11942","19792"
"NEW YORK","2020","DELAWARE","Albany","REPUBLICAN","13387","23074"
"NEW YORK","2020","DELAWARE","Albany","DEMOCRAT","9143","23074"
"NEW YORK","2020","FULTON","Albany","REPUBLICAN","15378","24072"
"NEW YORK","2020","FULTON","Albany","DEMOCRAT","7931","24072"
"NEW YORK","2000","FULTON","Albany","DEMOCRAT","9314","21671"
"NEW YORK","2000","FULTON","Albany","REPUBLICAN","11434","21671"
"NEW YORK","2004","FULTON","Albany","DEMOCRAT","8919","22215"
"NEW YORK","2004","FULTON","Albany","REPUBLICAN","12042","22215"
"NEW YORK","2016","FULTON","Albany","DEMOCRAT","6496","21214"
"NEW YORK","2016","FULTON","Albany","REPUBLICAN","13462","21214"
"NEW YORK","2008","FULTON","Albany","REPUBLICAN","11709","21805"
"NEW YORK","2008","FULTON","Albany","DEMOCRAT","9695","21805"
"NEW YORK","2012","FULTON","Albany","REPUBLICAN","9830","19799"
"NEW YORK","2012","FULTON","Albany","DEMOCRAT","8331","19799"
"NEW YORK","2012","GREENE","Albany","REPUBLICAN","9737","20472"
"NEW YORK","2012","GREENE","Albany","DEMOCRAT","8384","20472"
"NEW YORK","2016","GREENE","Albany","DEMOCRAT","7405","22050"
"NEW YORK","2016","GREENE","Albany","REPUBLICAN","13073","22050"
"NEW YORK","2008","GREENE","Albany","REPUBLICAN","12059","22315"
"NEW YORK","2008","GREENE","Albany","DEMOCRAT","9850","22315"
"NEW YORK","2020","GREENE","Albany","REPUBLICAN","14271","25320"
"NEW YORK","2020","GREENE","Albany","DEMOCRAT","10346","25320"
"NEW YORK","2004","GREENE","Albany","DEMOCRAT","8607","22398"
"NEW YORK","2004","GREENE","Albany","REPUBLICAN","12159","22398"
"NEW YORK","2000","GREENE","Albany","DEMOCRAT","8480","21094"
"NEW YORK","2000","GREENE","Albany","REPUBLICAN","11332","21094"
"NEW YORK","2000","HERKIMER","Albany","REPUBLICAN","14147","27705"
"NEW YORK","2000","HERKIMER","Albany","DEMOCRAT","12224","27705"
"NEW YORK","2004","HERKIMER","Albany","DEMOCRAT","11383","28310"
"NEW YORK","2004","HERKIMER","Albany","REPUBLICAN","15265","28310"
"NEW YORK","2008","HERKIMER","Albany","DEMOCRAT","12094","27184"
"NEW YORK","2008","HERKIMER","Albany","REPUBLICAN","14619","27184"
"NEW YORK","2012","HERKIMER","Albany","REPUBLICAN","12166","25040"
"NEW YORK","2012","HERKIMER","Albany","DEMOCRAT","10826","25040"
"NEW YORK","2016","HERKIMER","Albany","DEMOCRAT","8083","26255"
"NEW YORK","2016","HERKIMER","Albany","REPUBLICAN","16699","26255"
"NEW YORK","2020","HERKIMER","Albany","DEMOCRAT","9937","29560"
"NEW YORK","2020","HERKIMER","Albany","REPUBLICAN","18870","29560"
"NEW YORK","2020","MONTGOMERY","Albany","REPUBLICAN","12745","21246"
"NEW YORK","2020","MONTGOMERY","Albany","DEMOCRAT","7977","21246"
"NEW YORK","2004","MONTGOMERY","Albany","DEMOCRAT","9175","21221"
"NEW YORK","2004","MONTGOMERY","Albany","REPUBLICAN","10763","21221"
"NEW YORK","2000","MONTGOMERY","Albany","DEMOCRAT","10249","20809"
"NEW YORK","2000","MONTGOMERY","Albany","REPUBLICAN","9765","20809"
"NEW YORK","2016","MONTGOMERY","Albany","DEMOCRAT","6595","19054"
"NEW YORK","2016","MONTGOMERY","Albany","REPUBLICAN","11301","19054"
"NEW YORK","2008","MONTGOMERY","Albany","DEMOCRAT","9080","20175"
"NEW YORK","2008","MONTGOMERY","Albany","REPUBLICAN","10711","20175"
"NEW YORK","2012","MONTGOMERY","Albany","REPUBLICAN","8046","18186"
"NEW YORK","2012","MONTGOMERY","Albany","DEMOCRAT","8106","18186"
"NEW YORK","2012","OTSEGO","Albany","DEMOCRAT","11530","24139"
"NEW YORK","2012","OTSEGO","Albany","REPUBLICAN","10451","24139"
"NEW YORK","2016","OTSEGO","Albany","REPUBLICAN","13308","25668"
"NEW YORK","2016","OTSEGO","Albany","DEMOCRAT","10451","25668"
"NEW YORK","2008","OTSEGO","Albany","REPUBLICAN","12026","26101"
"NEW YORK","2008","OTSEGO","Albany","DEMOCRAT","13570","26101"
"NEW YORK","2020","OTSEGO","Albany","DEMOCRAT","12975","28223"
"NEW YORK","2020","OTSEGO","Albany","REPUBLICAN","14382","28223"
"NEW YORK","2000","OTSEGO","Albany","DEMOCRAT","11460","25358"
"NEW YORK","2000","OTSEGO","Albany","REPUBLICAN","12219","25358"
"NEW YORK","2004","OTSEGO","Albany","DEMOCRAT","12402","26652"
"NEW YORK","2004","OTSEGO","Albany","REPUBLICAN","12768","26652"
"NEW YORK","2004","RENSSELAER","Albany","REPUBLICAN","32290","72514"
"NEW YORK","2004","RENSSELAER","Albany","DEMOCRAT","34741","72514"
"NEW YORK","2000","RENSSELAER","Albany","DEMOCRAT","34808","68436"
"NEW YORK","2000","RENSSELAER","Albany","REPUBLICAN","29562","68436"
"NEW YORK","2008","RENSSELAER","Albany","DEMOCRAT","39753","73986"
"NEW YORK","2008","RENSSELAER","Albany","REPUBLICAN","32840","73986"
"NEW YORK","2012","RENSSELAER","Albany","DEMOCRAT","35373","67990"
"NEW YORK","2012","RENSSELAER","Albany","REPUBLICAN","24903","67990"
"NEW YORK","2016","RENSSELAER","Albany","REPUBLICAN","33726","71562"
"NEW YORK","2016","RENSSELAER","Albany","DEMOCRAT","32717","71562"
"NEW YORK","2020","RENSSELAER","Albany","DEMOCRAT","40969","79962"
"NEW YORK","2020","RENSSELAER","Albany","REPUBLICAN","36500","79962"
"NEW YORK","2020","SARATOGA","Albany","DEMOCRAT","68471","133556"
"NEW YORK","2020","SARATOGA","Albany","REPUBLICAN","61305","133556"
"NEW YORK","2000","SARATOGA","Albany","DEMOCRAT","43359","95057"
"NEW YORK","2000","SARATOGA","Albany","REPUBLICAN","46623","95057"
"NEW YORK","2004","SARATOGA","Albany","REPUBLICAN","53709","106873"
"NEW YORK","2004","SARATOGA","Albany","DEMOCRAT","47367","106873"
"NEW YORK","2016","SARATOGA","Albany","REPUBLICAN","54575","114094"
"NEW YORK","2016","SARATOGA","Albany","DEMOCRAT","50913","114094"
"NEW YORK","2008","SARATOGA","Albany","DEMOCRAT","56645","111255"
"NEW YORK","2008","SARATOGA","Albany","REPUBLICAN","52855","111255"
"NEW YORK","2012","SARATOGA","Albany","REPUBLICAN","44915","105510"
"NEW YORK","2012","SARATOGA","Albany","DEMOCRAT","50998","105510"
"NEW YORK","2012","SCHENECTADY","Albany","REPUBLICAN","22952","64933"
"NEW YORK","2012","SCHENECTADY","Albany","DEMOCRAT","35330","64933"
"NEW YORK","2016","SCHENECTADY","Albany","DEMOCRAT","33747","67280"
"NEW YORK","2016","SCHENECTADY","Albany","REPUBLICAN","28953","67280"
"NEW YORK","2008","SCHENECTADY","Albany","DEMOCRAT","38611","69778"
"NEW YORK","2008","SCHENECTADY","Albany","REPUBLICAN","29758","69778"
"NEW YORK","2020","SCHENECTADY","Albany","DEMOCRAT","42465","75381"
"NEW YORK","2020","SCHENECTADY","Albany","REPUBLICAN","30741","75381"
"NEW YORK","2004","SCHENECTADY","Albany","DEMOCRAT","34762","69469"
"NEW YORK","2004","SCHENECTADY","Albany","REPUBLICAN","30002","69469"
"NEW YORK","2000","SCHENECTADY","Albany","DEMOCRAT","35534","66946"
"NEW YORK","2000","SCHENECTADY","Albany","REPUBLICAN","27961","66946"
"NEW YORK","2000","SCHOHARIE","Albany","DEMOCRAT","5390","13548"
"NEW YORK","2000","SCHOHARIE","Albany","REPUBLICAN","7459","13548"
"NEW YORK","2004","SCHOHARIE","Albany","DEMOCRAT","5455","14557"
"NEW YORK","2004","SCHOHARIE","Albany","REPUBLICAN","8148","14557"
"NEW YORK","2008","SCHOHARIE","Albany","DEMOCRAT","6009","14381"
"NEW YORK","2008","SCHOHARIE","Albany","REPUBLICAN","8071","14381"
"NEW YORK","2012","SCHOHARIE","Albany","REPUBLICAN","6497","13207"
"NEW YORK","2012","SCHOHARIE","Albany","DEMOCRAT","5119","13207"
"NEW YORK","2016","SCHOHARIE","Albany","REPUBLICAN","8831","14050"
"NEW YORK","2016","SCHOHARIE","Albany","DEMOCRAT","4240","14050"
"NEW YORK","2020","SCHOHARIE","Albany","DEMOCRAT","5345","15810"
"NEW YORK","2020","SCHOHARIE","Albany","REPUBLICAN","9903","15810"
"NEW YORK","2020","WARREN","Albany","REPUBLICAN","17699","36394"
"NEW YORK","2020","WARREN","Albany","DEMOCRAT","17642","36394"
"NEW YORK","2004","WARREN","Albany","REPUBLICAN","16213","31059"
"NEW YORK","2004","WARREN","Albany","DEMOCRAT","13054","31059"
"NEW YORK","2000","WARREN","Albany","DEMOCRAT","12193","28621"
"NEW YORK","2000","WARREN","Albany","REPUBLICAN","14993","28621"
"NEW YORK","2016","WARREN","Albany","DEMOCRAT","13091","31408"
"NEW YORK","2016","WARREN","Albany","REPUBLICAN","15751","31408"
"NEW YORK","2008","WARREN","Albany","REPUBLICAN","15429","32206"
"NEW YORK","2008","WARREN","Albany","DEMOCRAT","16281","32206"
"NEW YORK","2012","WARREN","Albany","REPUBLICAN","12925","29578"
"NEW YORK","2012","WARREN","Albany","DEMOCRAT","14276","29578"
"NEW YORK","2012","WASHINGTON","Albany","REPUBLICAN","9793","23095"
"NEW YORK","2012","WASHINGTON","Albany","DEMOCRAT","10993","23095"
"NEW YORK","2016","WASHINGTON","Albany","DEMOCRAT","9098","24528"
"NEW YORK","2016","WASHINGTON","Albany","REPUBLICAN","13610","24528"
"NEW YORK","2008","WASHINGTON","Albany","REPUBLICAN","12533","25716"
"NEW YORK","2008","WASHINGTON","Albany","DEMOCRAT","12741","25716"
"NEW YORK","2020","WASHINGTON","Albany","REPUBLICAN","15941","28256"
"NEW YORK","2020","WASHINGTON","Albany","DEMOCRAT","11565","28256"
"NEW YORK","2000","WASHINGTON","Albany","DEMOCRAT","9641","23555"
"NEW YORK","2000","WASHINGTON","Albany","REPUBLICAN","12596","23555"
"NEW YORK","2004","WASHINGTON","Albany","REPUBLICAN","13148","25103"
"NEW YORK","2004","WASHINGTON","Albany","DEMOCRAT","10295","25103"
"LOUISIANA","2000","AVOYELLES","Alexandria","DEMOCRAT","6701","14653"
"LOUISIANA","2000","AVOYELLES","Alexandria","REPUBLICAN","7329","14653"
"LOUISIANA","2004","AVOYELLES","Alexandria","DEMOCRAT","6976","15525"
"LOUISIANA","2004","AVOYELLES","Alexandria","REPUBLICAN","8302","15525"
"LOUISIANA","2008","AVOYELLES","Alexandria","DEMOCRAT","6327","16938"
"LOUISIANA","2008","AVOYELLES","Alexandria","REPUBLICAN","10236","16938"
"LOUISIANA","2016","AVOYELLES","Alexandria","REPUBLICAN","11165","16586"
"LOUISIANA","2016","AVOYELLES","Alexandria","DEMOCRAT","5035","16586"
"LOUISIANA","2012","AVOYELLES","Alexandria","DEMOCRAT","6077","17032"
"LOUISIANA","2012","AVOYELLES","Alexandria","REPUBLICAN","10670","17032"
"LOUISIANA","2020","AVOYELLES","Alexandria","DEMOCRAT","4979","17292"
"LOUISIANA","2020","AVOYELLES","Alexandria","REPUBLICAN","12028","17292"
"LOUISIANA","2020","CALDWELL","Alexandria","DEMOCRAT","745","4762"
"LOUISIANA","2020","CALDWELL","Alexandria","REPUBLICAN","3976","4762"
"LOUISIANA","2008","CALDWELL","Alexandria","DEMOCRAT","1118","4893"
